factor,mode,total_rows,applied_rows,coverage,market_rows,industry_rows,notes
当日回调,both,21041,4941,0.234827,4941,4941,
机构持股比例(%),industry,21041,21037,0.999810,0,21037,
财务投资机构合计（投资公司+私募+集合理财+其他理财+员工持股+信托+QFII+券商+基金）,industry,21041,21037,0.999810,0,21037,
朋友合计（企业大股东（大非）+社保+保险）,industry,21041,21037,0.999810,0,21037,
十大流通个人持股合计,industry,21041,21037,0.999810,0,21037,
高管/大股东持股比例大非,industry,21041,21037,0.999810,0,21037,
普通散户持股比例,industry,21041,21037,0.999810,0,21037,
企业大股东大非（包含国资）,industry,21041,21037,0.999810,0,21037,
企业大股东（包含国资）（小非）,industry,21041,21037,0.999810,0,21037,
前10大流通股东持股比例合计,industry,21041,21037,0.999810,0,21037,
十大流通股东小非合计,industry,21041,21037,0.999810,0,21037,
十大流通股东大非合计,industry,21041,21037,0.999810,0,21037,
十大流通机构大非,industry,21041,21037,0.999810,0,21037,
十大流通机构小非,industry,21041,21037,0.999810,0,21037,
基金持仓占比,both,21041,4941,0.234827,4941,4941,
QFII持仓占比,both,21041,4941,0.234827,4941,4941,
持有基金家数,market_cap,21041,4941,0.234827,4941,0,
当日最高涨幅,both,21041,4941,0.234827,4941,4941,
次日开盘涨跌幅,both,21041,4941,0.234827,4941,4941,
当日回调,both,21041,4941,0.234827,4941,4941,
机构持股比例(%),industry,21041,21037,0.999810,0,21037,
财务投资机构合计（投资公司+私募+集合理财+其他理财+员工持股+信托+QFII+券商+基金）,industry,21041,21037,0.999810,0,21037,
朋友合计（企业大股东（大非）+社保+保险）,industry,21041,21037,0.999810,0,21037,
十大流通个人持股合计,industry,21041,21037,0.999810,0,21037,
高管/大股东持股比例大非,industry,21041,21037,0.999810,0,21037,
普通散户持股比例,industry,21041,21037,0.999810,0,21037,
企业大股东大非（包含国资）,industry,21041,21037,0.999810,0,21037,
企业大股东（包含国资）（小非）,industry,21041,21037,0.999810,0,21037,
前10大流通股东持股比例合计,industry,21041,21037,0.999810,0,21037,
十大流通股东小非合计,industry,21041,21037,0.999810,0,21037,
十大流通股东大非合计,industry,21041,21037,0.999810,0,21037,
十大流通机构大非,industry,21041,21037,0.999810,0,21037,
十大流通机构小非,industry,21041,21037,0.999810,0,21037,
基金持仓占比,both,21041,4941,0.234827,4941,4941,
QFII持仓占比,both,21041,4941,0.234827,4941,4941,
持有基金家数,market_cap,21041,4941,0.234827,4941,0,
当日最高涨幅,both,21041,4941,0.234827,4941,4941,
次日开盘涨跌幅,both,21041,4941,0.234827,4941,4941,
当日回调,both,21041,21033,0.999620,21033,21033,
机构持股比例(%),industry,21041,21037,0.999810,0,21037,
财务投资机构合计（投资公司+私募+集合理财+其他理财+员工持股+信托+QFII+券商+基金）,industry,21041,21037,0.999810,0,21037,
朋友合计（企业大股东（大非）+社保+保险）,industry,21041,21037,0.999810,0,21037,
十大流通个人持股合计,industry,21041,21037,0.999810,0,21037,
高管/大股东持股比例大非,industry,21041,21037,0.999810,0,21037,
普通散户持股比例,industry,21041,21037,0.999810,0,21037,
企业大股东大非（包含国资）,industry,21041,21037,0.999810,0,21037,
企业大股东（包含国资）（小非）,industry,21041,21037,0.999810,0,21037,
前10大流通股东持股比例合计,industry,21041,21037,0.999810,0,21037,
十大流通股东小非合计,industry,21041,21037,0.999810,0,21037,
十大流通股东大非合计,industry,21041,21037,0.999810,0,21037,
十大流通机构大非,industry,21041,21037,0.999810,0,21037,
十大流通机构小非,industry,21041,21037,0.999810,0,21037,
基金持仓占比,both,21041,21033,0.999620,21033,21033,
QFII持仓占比,both,21041,21033,0.999620,21033,21033,
持有基金家数,market_cap,21041,21033,0.999620,21033,0,
当日最高涨幅,both,21041,21033,0.999620,21033,21033,
次日开盘涨跌幅,both,21041,21033,0.999620,21033,21033,
当日回调,both,21041,4941,0.234827,4941,4941,
机构持股比例(%),industry,21041,21037,0.999810,0,21037,
财务投资机构合计（投资公司+私募+集合理财+其他理财+员工持股+信托+QFII+券商+基金）,industry,21041,21037,0.999810,0,21037,
朋友合计（企业大股东（大非）+社保+保险）,industry,21041,21037,0.999810,0,21037,
十大流通个人持股合计,industry,21041,21037,0.999810,0,21037,
高管/大股东持股比例大非,industry,21041,21037,0.999810,0,21037,
普通散户持股比例,industry,21041,21037,0.999810,0,21037,
企业大股东大非（包含国资）,industry,21041,21037,0.999810,0,21037,
企业大股东（包含国资）（小非）,industry,21041,21037,0.999810,0,21037,
前10大流通股东持股比例合计,industry,21041,21037,0.999810,0,21037,
十大流通股东小非合计,industry,21041,21037,0.999810,0,21037,
十大流通股东大非合计,industry,21041,21037,0.999810,0,21037,
十大流通机构大非,industry,21041,21037,0.999810,0,21037,
十大流通机构小非,industry,21041,21037,0.999810,0,21037,
