因子名称,IC均值,IC标准差,IR值,t统计量,p值,多空收益,IC有效点数,IC总日数,IC缺样比例,IC模式,筛选模式,日均样本,样本中位数,样本P25,窗口天数,日最小样本,整体样本量,整体回退说明,主要板块,主要板块占比,次要板块,次要板块占比,主要板块IC,次要板块IC,板块警告,板块建议
当日回调,0.014,0.3,0.047,1.357,0.175,0.011,837,905,0.075,daily,高样本量模式,18.086,16.0,10.0,1,5,16368,,创业板,0.999,其他,0.001,0.021,,其他: 样本不足（15<30）,其他收益明显领先（Δ=0.028），优先配置该板块
机构持股比例(%),-0.001,0.298,-0.003,-0.073,0.942,0.003,841,905,0.071,daily,高样本量模式,18.086,16.0,10.0,1,5,16368,,创业板,0.999,其他,0.001,0.014,,其他: 样本不足（15<30）,其他收益明显领先（Δ=0.028），优先配置该板块
流通市值(元),0.028,0.316,0.09,2.598,0.01,0.009,841,905,0.071,daily,高样本量模式,18.086,16.0,10.0,1,5,16368,,创业板,0.999,其他,0.001,0.039,,其他: 样本不足（15<30）,其他收益明显领先（Δ=0.028），优先配置该板块
财务投资机构合计（投资公司+私募+集合理财+其他理财+员工持股+信托+QFII+券商+基金）,0.01,0.287,0.036,1.05,0.294,0.001,841,905,0.071,daily,高样本量模式,18.086,16.0,10.0,1,5,16368,,创业板,0.999,其他,0.001,0.01,,其他: 样本不足（15<30）,其他收益明显领先（Δ=0.028），优先配置该板块
朋友合计（企业大股东（大非）+社保+保险）,-0.005,0.267,-0.018,-0.503,0.615,0.008,779,905,0.139,daily,高样本量模式,18.086,16.0,10.0,1,5,16368,,创业板,0.999,其他,0.001,0.008,,其他: 样本不足（15<30）,其他收益明显领先（Δ=0.028），优先配置该板块
十大流通个人持股合计,-0.0,0.277,-0.001,-0.023,0.982,-0.005,840,905,0.072,daily,高样本量模式,18.086,16.0,10.0,1,5,16368,,创业板,0.999,其他,0.001,-0.007,,其他: 样本不足（15<30）,其他收益明显领先（Δ=0.028），优先配置该板块
高管/大股东持股比例大非,0.0,0.263,0.001,0.027,0.978,-0.007,762,905,0.158,daily,高样本量模式,18.086,16.0,10.0,1,5,16368,,创业板,0.999,其他,0.001,-0.022,,其他: 样本不足（15<30）,其他收益明显领先（Δ=0.028），优先配置该板块
普通散户持股比例,-0.008,0.292,-0.029,-0.836,0.404,-0.002,828,905,0.085,daily,高样本量模式,18.086,16.0,10.0,1,5,16368,,创业板,0.999,其他,0.001,-0.007,,其他: 样本不足（15<30）,其他收益明显领先（Δ=0.028），优先配置该板块
企业大股东大非（包含国资）,0.001,0.266,0.003,0.07,0.944,0.008,759,905,0.161,daily,高样本量模式,18.086,16.0,10.0,1,5,16368,,创业板,0.999,其他,0.001,0.012,,其他: 样本不足（15<30）,其他收益明显领先（Δ=0.028），优先配置该板块
企业大股东（包含国资）（小非）,0.002,0.24,0.009,0.211,0.833,-0.004,549,905,0.393,daily,高样本量模式,18.086,16.0,10.0,1,5,16368,,创业板,0.999,其他,0.001,-0.003,,其他: 样本不足（15<30）,其他收益明显领先（Δ=0.028），优先配置该板块
前10大流通股东持股比例合计,-0.011,0.292,-0.038,-1.106,0.269,0.003,839,905,0.073,daily,高样本量模式,18.086,16.0,10.0,1,5,16368,,创业板,0.999,其他,0.001,0.002,,其他: 样本不足（15<30）,其他收益明显领先（Δ=0.028），优先配置该板块
十大流通股东小非合计,-0.004,0.282,-0.014,-0.406,0.685,-0.004,838,905,0.074,daily,高样本量模式,18.086,16.0,10.0,1,5,16368,,创业板,0.999,其他,0.001,-0.004,,其他: 样本不足（15<30）,其他收益明显领先（Δ=0.028），优先配置该板块
十大流通股东大非合计,-0.009,0.285,-0.033,-0.954,0.34,0.004,841,905,0.071,daily,高样本量模式,18.086,16.0,10.0,1,5,16368,,创业板,0.999,其他,0.001,0.002,,其他: 样本不足（15<30）,其他收益明显领先（Δ=0.028），优先配置该板块
十大流通机构大非,-0.0,0.273,-0.001,-0.02,0.984,0.01,802,905,0.114,daily,高样本量模式,18.086,16.0,10.0,1,5,16368,,创业板,0.999,其他,0.001,0.01,,其他: 样本不足（15<30）,其他收益明显领先（Δ=0.028），优先配置该板块
十大流通机构小非,-0.008,0.277,-0.03,-0.869,0.385,-0.004,837,905,0.075,daily,高样本量模式,18.086,16.0,10.0,1,5,16368,,创业板,0.999,其他,0.001,0.002,,其他: 样本不足（15<30）,其他收益明显领先（Δ=0.028），优先配置该板块
基金持仓占比,0.01,0.292,0.034,0.972,0.331,0.0,818,905,0.096,daily,高样本量模式,18.086,16.0,10.0,1,5,16368,,创业板,0.999,其他,0.001,0.015,,其他: 样本不足（15<30）,其他收益明显领先（Δ=0.028），优先配置该板块
QFII持仓占比,0.007,0.226,0.029,0.535,0.593,-0.004,334,905,0.631,daily,高样本量模式,18.086,16.0,10.0,1,5,16368,,创业板,0.999,其他,0.001,0.005,,其他: 样本不足（15<30）,其他收益明显领先（Δ=0.028），优先配置该板块
持有基金家数,0.011,0.296,0.037,1.072,0.284,0.007,836,905,0.076,daily,高样本量模式,18.086,16.0,10.0,1,5,16368,,创业板,0.999,其他,0.001,0.03,,其他: 样本不足（15<30）,其他收益明显领先（Δ=0.028），优先配置该板块
