因子名称,IC均值,IC标准差,IR值,t统计量,p值,原始IC均值,原始IC标准差,原始IR值,原始t统计量,原始p值,多空收益,IC有效点数,IC总日数,IC缺样比例,IC模式,筛选模式,日均样本,样本中位数,样本P25,窗口天数,日最小样本,整体样本量,整体回退说明,主要板块,主要板块占比,次要板块,次要板块占比,主要板块IC,次要板块IC,板块警告,板块建议,原始IC有效点数,原始IC总日数,原始IC缺样比例,原始IC模式,原始筛选模式
当日回调,0.002,0.286,0.005,0.179,0.858,0.006,0.294,0.022,0.718,0.473,0.007,1083,1148,0.057,daily,高样本量模式,18.321,17.0,10.0,1,5,21032,,创业板,0.999,其他,0.001,0.008,,其他: 样本不足（16<30）,其他收益明显领先（Δ=0.028），优先配置该板块,1083,1148,0.057,daily,高样本量模式
机构持股比例(%),-0.005,0.291,-0.019,-0.62,0.535,-0.005,0.292,-0.018,-0.584,0.559,0.004,1083,1148,0.057,daily,高样本量模式,18.324,17.0,10.0,1,5,21036,,创业板,0.999,其他,0.001,0.005,,其他: 样本不足（16<30）,其他收益明显领先（Δ=0.028），优先配置该板块,1083,1148,0.057,daily,高样本量模式
流通市值(元),0.033,0.309,0.108,3.541,0.0,0.033,0.309,0.108,3.541,0.0,0.007,1083,1148,0.057,daily,高样本量模式,18.324,17.0,10.0,1,5,21036,,创业板,0.999,其他,0.001,0.041,,其他: 样本不足（16<30）,其他收益明显领先（Δ=0.028），优先配置该板块,1083,1148,0.057,daily,高样本量模式
财务投资机构合计（投资公司+私募+集合理财+其他理财+员工持股+信托+QFII+券商+基金）,0.009,0.282,0.032,1.067,0.286,0.009,0.283,0.033,1.097,0.273,-0.006,1083,1148,0.057,daily,高样本量模式,18.324,17.0,10.0,1,5,21036,,创业板,0.999,其他,0.001,0.0,,其他: 样本不足（16<30）,其他收益明显领先（Δ=0.028），优先配置该板块,1083,1148,0.057,daily,高样本量模式
朋友合计（企业大股东（大非）+社保+保险）,-0.016,0.287,-0.057,-1.887,0.059,-0.017,0.289,-0.06,-1.973,0.049,0.007,1083,1148,0.057,daily,高样本量模式,18.324,17.0,10.0,1,5,21036,,创业板,0.999,其他,0.001,0.004,,其他: 样本不足（16<30）,其他收益明显领先（Δ=0.028），优先配置该板块,1083,1148,0.057,daily,高样本量模式
十大流通个人持股合计,0.002,0.271,0.009,0.294,0.769,0.001,0.273,0.003,0.099,0.921,0.0,1083,1148,0.057,daily,高样本量模式,18.324,17.0,10.0,1,5,21036,,创业板,0.999,其他,0.001,-0.006,,其他: 样本不足（16<30）,其他收益明显领先（Δ=0.028），优先配置该板块,1083,1148,0.057,daily,高样本量模式
高管/大股东持股比例大非,-0.002,0.271,-0.006,-0.194,0.846,-0.003,0.27,-0.012,-0.397,0.691,-0.004,1080,1148,0.059,daily,高样本量模式,18.324,17.0,10.0,1,5,21036,,创业板,0.999,其他,0.001,-0.01,,其他: 样本不足（16<30）,其他收益明显领先（Δ=0.028），优先配置该板块,1080,1148,0.059,daily,高样本量模式
普通散户持股比例,-0.005,0.291,-0.017,-0.55,0.582,-0.007,0.29,-0.024,-0.792,0.429,0.004,1082,1148,0.057,daily,高样本量模式,18.324,17.0,10.0,1,5,21036,,创业板,0.999,其他,0.001,0.004,,其他: 样本不足（16<30）,其他收益明显领先（Δ=0.028），优先配置该板块,1082,1148,0.057,daily,高样本量模式
企业大股东大非（包含国资）,-0.013,0.286,-0.046,-1.512,0.131,-0.014,0.289,-0.047,-1.542,0.123,0.006,1083,1148,0.057,daily,高样本量模式,18.324,17.0,10.0,1,5,21036,,创业板,0.999,其他,0.001,0.005,,其他: 样本不足（16<30）,其他收益明显领先（Δ=0.028），优先配置该板块,1083,1148,0.057,daily,高样本量模式
企业大股东（包含国资）（小非）,0.005,0.271,0.017,0.56,0.575,0.002,0.27,0.007,0.233,0.816,-0.0,1061,1148,0.076,daily,高样本量模式,18.324,17.0,10.0,1,5,21036,,创业板,0.999,其他,0.001,-0.001,,其他: 样本不足（16<30）,其他收益明显领先（Δ=0.028），优先配置该板块,1061,1148,0.076,daily,高样本量模式
